host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
964081,Yoshimi & Marek,8/13/2011,"Tokyo, Japan",within a day,1,1,t,1,2,"['email', 'phone']",t,t
801494,Kei,7/10/2011,Japan,within a few hours,1,1,t,1,6,"['email', 'phone']",t,t
4847803,Best Stay In Tokyo!,1/25/2013,"Tokyo, Japan",within an hour,1,1,t,6,17,"['email', 'phone']",t,t
5596383,Wakana,3/24/2013,"Tokyo, Japan",within an hour,1,1,t,2,6,"['email', 'phone']",t,t
5686404,Yukiko,3/30/2013,"Tokyo, Japan",within an hour,1,0.96,t,1,2,"['email', 'phone']",t,t
6809418,Yume,6/9/2013,"Tokyo, Japan",within an hour,1,1,t,1,2,"['email', 'phone']",t,t
6876728,Haruko,6/12/2013,"Tokyo, Japan",within a day,0.9,0.45,f,1,4,"['email', 'phone']",t,t
1913570,Sugi,3/13/2012,"Meguro City, Japan",within an hour,1,1,f,1,3,"['email', 'phone']",t,t
7740848,K Family,7/26/2013,"Katsushika City, Japan",within a few hours,1,0.98,t,7,16,"['email', 'phone']",t,t
7103955,Masaharu,6/25/2013,"Shinjuku, Japan",within a day,0.6,0.78,t,13,16,"['email', 'phone', 'work_email']",t,t
5710367,David,4/1/2013,"Meguro, Japan",within an hour,1,1,t,6,13,"['email', 'phone']",t,t
7537357,Yayoi,7/17/2013,"Toshima City, Japan",within a few hours,1,0.91,f,2,4,"['email', 'phone']",t,t
7537357,Yayoi,7/17/2013,"Toshima City, Japan",within a few hours,1,0.91,f,2,4,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
7740848,K Family,7/26/2013,"Katsushika City, Japan",within a few hours,1,0.98,t,7,16,"['email', 'phone']",t,t
9203725,Tokyo,10/3/2013,"Tokyo, Japan",within an hour,1,0.97,t,9,29,"['email', 'phone']",t,t
9951050,Li Hsuan,11/11/2013,"Shinagawa City, Japan",within an hour,1,0.94,t,3,4,"['email', 'phone', 'work_email']",t,t
10294366,Ryusuke,11/27/2013,,within an hour,1,1,t,1,6,"['email', 'phone', 'work_email']",t,t
9203725,Tokyo,10/3/2013,"Tokyo, Japan",within an hour,1,0.97,t,9,29,"['email', 'phone']",t,t
9203725,Tokyo,10/3/2013,"Tokyo, Japan",within an hour,1,0.97,t,9,29,"['email', 'phone']",t,t
11430874,Kako & Keiko,1/19/2014,"Shibuya City, Japan",within an hour,1,0.82,t,1,1,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
8142772,Min & Haru,8/13/2013,"Shinjuku City, Japan",within an hour,1,0.92,t,13,13,"['email', 'phone']",t,t
13465066,Tomoyuki&Maki,3/23/2014,"Akishima, Japan",within an hour,1,0.91,t,2,2,"['email', 'phone']",t,t
4839990,Toshiyuki,1/25/2013,"Bunkyo City, Japan",within a day,1,0.94,t,3,6,"['email', 'phone', 'work_email']",t,t
9360394,Vann Amor,10/11/2013,"Tokyo, Japan",within an hour,1,0.72,f,4,17,"['email', 'phone']",t,t
6969809,Kota,6/17/2013,"Tokyo, Japan",within a few hours,1,0.89,f,1,3,"['email', 'phone']",t,t
9360394,Vann Amor,10/11/2013,"Tokyo, Japan",within an hour,1,0.72,f,4,17,"['email', 'phone']",t,t
9360394,Vann Amor,10/11/2013,"Tokyo, Japan",within an hour,1,0.72,f,4,17,"['email', 'phone']",t,t
10415965,Azabu,12/3/2013,"Tokyo, Japan",within an hour,1,0.98,f,2,3,"['email', 'phone']",t,t
16241464,Kaori,6/1/2014,"Itabashi, Japan",within an hour,1,0.94,t,2,2,"['email', 'phone']",t,t
16241464,Kaori,6/1/2014,"Itabashi, Japan",within an hour,1,0.94,t,2,2,"['email', 'phone']",t,t
16973429,Hirano San,6/18/2014,"Taito, Japan",within an hour,1,1,t,2,3,"['email', 'phone']",t,t
17018818,Miri,6/19/2014,"Meguro, Japan",within an hour,1,0.84,f,1,1,"['email', 'phone']",t,t
9203725,Tokyo,10/3/2013,"Tokyo, Japan",within an hour,1,0.97,t,9,29,"['email', 'phone']",t,t
13018876,Masakatsu,3/11/2014,"Edogawa, Japan",within an hour,1,0.99,t,2,4,"['email', 'phone']",t,t
17694529,Hisao,7/6/2014,"Arakawa, Japan",within a few hours,1,0.96,t,8,9,"['email', 'phone']",t,t
11583876,Ken,1/23/2014,"Tokyo, Japan",within an hour,1,1,t,5,6,"['email', 'phone']",t,t
15514130,Tomo,5/14/2014,"Shibuya, Japan",within an hour,1,1,t,1,1,"['email', 'phone']",t,t
13018876,Masakatsu,3/11/2014,"Edogawa, Japan",within an hour,1,0.99,t,2,4,"['email', 'phone']",t,t
