id,name,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,instant_bookable
197677,Oshiage Holiday Apartment,964081,Sumida Ku,Entire rental unit,Entire home/apt,2,1,1,2,12000,3,1125,3,1125,t,f
776070,Kero-kero house room 1,801494,Kita Ku,Private room in home,Private room,1,1,1,1,9652,3,14,3,14,t,f
905944,4F - Near Shinjuku & Shibuya,4847803,Shibuya Ku,Entire rental unit,Entire home/apt,6,1,2,4,25738,3,1125,4.5,766.3,t,t
1016831,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Setagaya Ku,Private room in home,Private room,2,1,1,2,23286,10,31,10,31,t,f
1196177,Stay with host Cozy private room Senju area,5686404,Adachi Ku,Private room in home,Private room,3,1.5,1,0,7500,2,60,2,1125,t,f
1249571,Unique stay! New&1min to the subway,6809418,Shibuya Ku,Entire home,Entire home/apt,3,1,1,1,62047,7,1125,7,1125,t,f
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Setagaya Ku,Private room in home,Private room,1,1,1,2,8800,3,30,3,30,t,f
1268465,Private APT 8min from JR Ebisu station,1913570,Meguro Ku,Entire rental unit,Entire home/apt,2,0.5,0,1,15282,3,365,3,365,t,f
1298200,Pine House 2 Bed Room + 2 Toilets,7740848,Katsushika Ku,Entire home,Entire home/apt,3,2,2,4,24543,3,18,4.4,19.1,t,f
1306664,3rd floor penthouse @ heart of TKO,7103955,Shinjuku Ku,Entire rental unit,Entire home/apt,2,1,1,1,39714,3,180,3,180,t,f
1394124,Solar power/Car space/near to park,5710367,Meguro Ku,Entire home,Entire home/apt,10,2.5,2,2,37429,2,365,2,1125,t,f
1394409,Room in Mejiro/Ikebukuro (2of2) for 1 person,7537357,Toshima Ku,Private room in home,Private room,1,2,1,1,6000,3,1125,3,1125,t,f
1394737,Room in Mejiro/Ikebukuro (1of2) for 1 person,7537357,Toshima Ku,Private room in home,Private room,1,2,2,2,5500,3,1125,3,1125,t,f
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,8142772,Shinjuku Ku,Private room in rental unit,Private room,2,1,1,0,12800,2,1125,2,1125,t,f
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,8142772,Shinjuku Ku,Private room in rental unit,Private room,2,1,1,0,12800,2,1125,2,1125,t,f
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
1732795,"4 Bed-rooms, 2 toilets, shower, Traditional rooms",7740848,Katsushika Ku,Entire home,Entire home/apt,8,2,4,5,48729,3,30,5,20.3,t,t
1749157,Diplomat House/Mansion very close to JR Station,9203725,Ota Ku,Entire home,Entire home/apt,16,2,6,9,77857,3,180,3,180,t,f
1919541,Share House 'Miraie' @JR Osaki (Special discuont),9951050,Shinagawa Ku,Private room in home,Private room,1,1.5,1,1,9000,22,180,22,180,t,f
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Setagaya Ku,Entire condo,Entire home/apt,16,1,3,2,36000,2,1125,2,1125,t,f
2080626,*Smal BdRm in Shared house with Queen bed. NO AC!,9203725,Ota Ku,Private room in home,Private room,2,2.5,1,1,8000,3,1124,3,1124,t,f
2129325,*Traditional Tea Room in large shared house 1F,9203725,Shinagawa Ku,Private room in home,Private room,4,2,1,4,15857,3,365,3,365,t,f
2238472,Spacious! Shibuya House w/Garden,11430874,Shibuya Ku,Private room in home,Private room,3,2,1,0,39000,2,30,2,30,t,f
2491507,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No5 シェアルーム,8142772,Shinjuku Ku,Shared room in rental unit,Shared room,8,1,1,8,7760,2,1125,2,1125,t,f
