id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
197677,176,4,0,4.78,4.74,4.91,4.84,4.83,4.54,4.79,1.13
776070,256,13,1,4.98,4.96,4.91,4.98,4.98,4.84,4.92,1.81
905944,219,33,3,4.79,4.81,4.79,4.88,4.91,4.79,4.79,1.6
1016831,268,24,1,4.95,4.94,4.84,4.94,4.98,4.92,4.9,1.96
1196177,120,26,1,4.78,4.89,4.78,4.93,4.91,4.73,4.8,0.91
1249571,134,18,1,4.95,4.95,4.97,4.96,4.91,4.98,4.89,1.02
1263000,194,12,1,4.8,4.7,4.76,4.85,4.76,4.81,4.7,1.45
1268465,18,6,0,4.83,4.94,4.65,4.94,4.94,4.82,4.76,0.14
1298200,396,26,3,4.94,4.95,4.96,4.97,4.97,4.75,4.89,2.96
1306664,212,25,0,4.89,4.87,4.89,4.88,4.86,4.88,4.69,1.63
1394124,312,46,2,4.79,4.72,4.55,4.85,4.93,4.7,4.71,2.35
1394409,228,2,0,4.7,4.78,4.63,4.85,4.88,4.76,4.74,1.73
1394737,230,9,1,4.67,4.75,4.56,4.85,4.88,4.74,4.7,1.74
1526132,215,22,2,4.85,4.83,4.78,4.92,4.94,4.81,4.76,1.63
1544970,159,18,1,4.87,4.85,4.77,4.92,4.95,4.87,4.8,1.21
1571298,194,15,0,4.83,4.84,4.75,4.93,4.95,4.84,4.78,1.48
1574946,165,12,1,4.82,4.82,4.85,4.94,4.98,4.88,4.77,1.26
1732795,377,41,1,4.91,4.94,4.92,4.92,4.93,4.69,4.87,2.9
1749157,65,6,0,4.78,4.83,4.62,4.71,4.89,4.88,4.68,0.5
1919541,241,7,0,4.88,4.92,4.95,4.96,4.97,4.79,4.82,1.86
1997959,130,12,1,4.92,4.92,4.87,4.97,4.97,4.72,4.92,1.04
2080626,60,4,1,4.82,4.78,4.63,4.9,4.92,4.85,4.65,0.48
2129325,22,14,0,5,4.82,4.91,4.86,5,4.86,4.86,0.18
2238472,171,7,1,4.92,4.89,4.82,4.96,4.98,4.96,4.82,1.38
2491507,92,3,0,4.78,4.67,4.71,4.89,4.93,4.79,4.72,0.74
2602722,182,13,0,4.83,4.82,4.78,4.95,4.98,4.82,4.83,1.46
2602791,82,8,0,4.71,4.7,4.75,4.94,4.89,4.78,4.68,0.66
2645379,76,3,0,4.76,4.87,4.7,4.91,4.92,4.84,4.74,0.61
2803972,39,4,0,4.69,4.79,4.46,4.82,4.9,4.42,4.71,0.35
2839061,117,23,2,4.91,4.92,4.88,4.9,4.98,4.88,4.87,1.07
2867835,12,4,0,4.42,4.5,4.67,4.75,4.58,4.58,4.42,0.11
2883497,305,30,2,4.72,4.84,4.77,4.91,4.82,4.79,4.71,2.5
2883753,6,3,0,4.33,4.67,4.33,4.67,4.67,4.33,4.67,0.09
2883869,10,4,1,4.7,4.9,4.8,5,4.8,4.2,4.2,0.09
3085134,155,19,2,4.74,4.73,4.71,4.9,4.92,4.96,4.52,1.27
3235958,115,17,0,4.77,4.77,4.62,4.8,4.82,4.62,4.76,0.97
3339222,68,9,0,4.66,4.86,4.58,4.91,4.87,4.63,4.71,0.64
3364169,149,18,1,4.77,4.85,4.62,4.95,4.97,4.62,4.82,1.24
3372902,153,11,3,4.6,4.73,4.45,4.76,4.88,4.42,4.66,1.27
3389878,14,9,1,4.93,4.79,5,4.93,5,4.93,4.79,0.12
3427384,139,39,5,4.84,4.88,4.84,4.93,4.93,4.68,4.78,1.16
3514008,324,57,8,4.87,4.87,4.77,4.87,4.89,4.65,4.89,2.79
3563698,127,7,1,4.87,4.9,4.87,4.98,4.99,4.69,4.87,1.06
